,class_names,class_names_transformed,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
40,atule_mate,Atule mate,20256729,Atule mate,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,Atule,Yellowtail Scad,"(Cuvier, 1833)",2016,2015-03-06,LC,None,Unknown,True,False,False,"Smith-Vaniz, W.F. & Williams, I.","Ralph, G., Harvey, M. & Buchanan, J.",None,None,None,None,1,80,True,This errata assessment has been created because the map was accidentally left out of the version published previously.,None,None
41,auxis_rochei,Auxis rochei,170355,Auxis rochei,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Auxis,Bullet Tuna,"(Risso, 1810)",2011,2010-09-17,LC,None,Stable,True,False,False,"Collette, B., Acero, A., Amorim, A.F., Boustany, A., Canales Ramirez, C., Cardenas, G., Carpenter, K.E., de Oliveira Leite Jr., N., Di Natale, A., Fox, W., Fredou, F.L., Graves, J., Guzman-Mora, A., Viera Hazin, F.H., Juan Jorda, M., Kada, O., Minte Vera, C., Miyabe, N., Montano Cruz, R., Nelson, R., Oxenford, H., Salas, E., Schaefer, K., Serra, R., Sun, C., Teixeira Lessa, R.P., Pires Ferreira Travassos, P.E., Uozumi, Y. & Yanez, E.","Russell, B. & Polidoro, B.",None,None,None,None,0,200,None,None,None,None
42,auxis_thazard,Auxis thazard,170344,Auxis thazard,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Auxis,Frigate Tuna,"(Lacepède, 1800)",2011,2010-09-14,LC,None,Stable,True,False,False,"Collette, B., Acero, A., Amorim, A.F., Boustany, A., Canales Ramirez, C., Cardenas, G., Carpenter, K.E., de Oliveira Leite Jr., N., Di Natale, A., Fox, W., Fredou, F.L., Graves, J., Guzman-Mora, A., Viera Hazin, F.H., Juan Jorda, M., Kada, O., Minte Vera, C., Miyabe, N., Montano Cruz, R., Nelson, R., Oxenford, H., Salas, E., Schaefer, K., Serra, R., Sun, C., Teixeira Lessa, R.P., Pires Ferreira Travassos, P.E., Uozumi, Y. & Yanez, E.","Russell, B. & Polidoro, B.",None,None,None,None,0,200,None,None,None,None
43,bathylagichthys_greyae,Bathylagichthys greyae,18140358,Bathylagichthys greyae,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,BATHYLAGIDAE,Bathylagichthys,Grey's Deepsea Smelt,"(Cohen, 1958)",2015,2014-07-10,LC,None,Unknown,True,False,False,"Knudsen, S., Nielsen, J. & Uiblein, F.","Santa Cruz, A. & Polidoro, B.",None,None,None,None,25,1000,None,None,None,None
44,beryx_decadactylus,Beryx decadactylus,198578,Beryx decadactylus,ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,BERYCIDAE,Beryx,Alfonsino,"Cuvier, 1829",2015,2013-01-29,LC,None,Unknown,True,False,False,"Iwamoto, T., Russell, B., Polanco Fernandez, A., McEachran, J.D. & Moore, J.","Weller, S., Strongin, K., Carpenter, K.E. & Polidoro, B.",None,None,None,None,150,1000,None,None,None,None
45,bodianus_anthioides,Bodianus anthioides,187715,Bodianus anthioides,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,Lyre-tail hogfish,"(Bennett, 1832)",2010,2008-03-12,LC,None,Unknown,True,False,False,"Russell, B.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,6,60,None,None,None,None
46,bodianus_axillaris,Bodianus axillaris,187516,Bodianus axillaris,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,Turncoat hogfish,"(Bennett, 1832)",2010,2008-03-12,LC,None,Unknown,True,False,False,"Russell, B.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,1,27,None,None,None,None
47,bodianus_bilunulatus,Bodianus bilunulatus,187554,Bodianus bilunulatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,Crescent banded hogfish,"(Lacepède, 1801)",2010,2008-03-12,LC,None,Unknown,True,False,False,"Russell, B.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,8,160,None,None,None,None
48,bodianus_bimaculatus,Bodianus bimaculatus,187638,Bodianus bimaculatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,Two-spot slender hogfish,"Allen, 1973",2010,2008-03-12,LC,None,Unknown,True,False,False,"Russell, B. & Myers, R.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,30,60,None,None,None,None
49,bodianus_diana,Bodianus diana,187587,Bodianus diana,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,Indian Diana's Hogfish,"(Lacepède, 1801)",2010,2008-03-12,LC,None,Unknown,True,False,False,"Russell, B.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,9,30,None,None,None,None
